Dba Group|Dba Group|DBA.MI|dati/azioni/json/dbagroup.json|dati/azioni/csv/dbagroup.csv|25-02-2023 09:55:58|true
De'Longhi|De'Longhi|DLG.MI|dati/azioni/json/de_longhi.json|dati/azioni/csv/de_longhi.csv|25-02-2023 09:55:58|true
Dea Capital|Dea Capital|DEA.MI|dati/azioni/json/deacapital.json|dati/azioni/csv/deacapital.csv|25-02-2023 09:55:58|true
Defence Tech Holding|Defence Tech Holding|DTH.MI|dati/azioni/json/defencetechholding.json|dati/azioni/csv/defencetechholding.csv|25-02-2023 09:55:58|true
Deodato.Gallery|Deodato.Gallery|ART.MI|dati/azioni/json/deodato_gallery.json|dati/azioni/csv/deodato_gallery.csv|25-02-2023 09:55:58|true
Destination Italia|Destination Italia|DIT.MI|dati/azioni/json/destinationitalia.json|dati/azioni/csv/destinationitalia.csv|25-02-2023 09:55:58|true
Deutsche Bank|Deutsche Bank||dati/azioni/json/deutschebank.json|dati/azioni/csv/deutschebank.csv|25-02-2023 08:36:04|true
Deutsche Boerse|Deutsche Boerse||dati/azioni/json/deutscheboerse.json|dati/azioni/csv/deutscheboerse.csv|23-02-2023 21:00:26|true
Ageas|Ageas|AGS.MI|dati/azioni/json/ageas.json|dati/azioni/csv/ageas.csv|25-02-2023 09:55:57|true
Deutsche Lufthansa|Deutsche Lufthansa|LHA.DE|dati/azioni/json/deutschelufthansa.json|dati/azioni/csv/deutschelufthansa.csv|25-02-2023 09:48:20|true
Deutsche Post|Deutsche Post||dati/azioni/json/deutschepost.json|dati/azioni/csv/deutschepost.csv|25-02-2023 08:36:04|true
Deutsche Telekom|Deutsche Telekom|DTE.DE|dati/azioni/json/deutschetelekom.json|dati/azioni/csv/deutschetelekom.csv|25-02-2023 09:55:58|true
Dhh|Dhh|DHH.MI|dati/azioni/json/dhh.json|dati/azioni/csv/dhh.csv|25-02-2023 09:55:58|true
Diasorin|Diasorin|DIA.MI|dati/azioni/json/diasorin.json|dati/azioni/csv/diasorin.csv|25-02-2023 09:55:58|true
Digital Bros|Digital Bros|DIB.MI|dati/azioni/json/digitalbros.json|dati/azioni/csv/digitalbros.csv|25-02-2023 09:55:58|true
Digital Magics|Digital Magics|DM.MI|dati/azioni/json/digitalmagics.json|dati/azioni/csv/digitalmagics.csv|25-02-2023 09:55:58|true
Digital Value|Digital Value|DGV.MI|dati/azioni/json/digitalvalue.json|dati/azioni/csv/digitalvalue.csv|25-02-2023 09:55:58|true
Digital360|Digital360|DIG.MI|dati/azioni/json/digital360.json|dati/azioni/csv/digital360.csv|25-02-2023 09:55:58|true
Digitouch|Digitouch|DGT.MI|dati/azioni/json/digitouch.json|dati/azioni/csv/digitouch.csv|25-02-2023 09:55:58|true
Ahold Del|Ahold Del|ADB.MI|dati/azioni/json/aholddel.json|dati/azioni/csv/aholddel.csv|25-02-2023 09:55:57|true
